Country,Revenue,Orders,Units,Customers,Revenue_Share_%
United Kingdom,9025222.084002146,18019,4662390.0,3920,84.61131522892394
Netherlands,285446.34,94,200361.0,9,2.6760549524308925
EIRE,283453.9599999986,288,147173.0,3,2.657376421236105
Germany,228867.13999999844,457,119261.0,94,2.1456258414302676
France,209715.10999999978,392,112103.0,87,1.9660758611061147
Australia,138521.30999999956,57,83901.0,9,1.2986351047370714
Spain,61577.10999999997,90,27940.0,30,0.577284438721063
Switzerland,57089.900000000096,54,30629.0,21,0.535216915476249
Belgium,41196.33999999997,98,23237.0,25,0.3862150402034469
Sweden,38378.33000000003,36,36083.0,8,0.3597962407313654
Japan,37416.37000000001,19,26016.0,8,0.3507778808461397
Norway,36165.440000000046,36,19336.0,10,0.33905043175134914
Portugal,33747.09999999999,58,16258.0,19,0.3163785322494608
Finland,22546.079999999973,41,10704.0,12,0.2113691457452319
Singapore,21279.289999999994,7,5241.0,1,0.19949300939964107
Channel Islands,20450.439999999962,26,9491.0,9,0.1917225536729275
Denmark,18955.339999999997,18,8235.0,9,0.17770601466465247
Italy,17483.240000000005,38,8112.0,14,0.16390510029499025
Hong Kong,15691.800000000003,11,4773.0,0,0.14711037844295038
Cyprus,13590.379999999994,16,6361.0,8,0.12740959896146412
Austria,10198.679999999997,17,4881.0,11,0.09561246475347306
Israel,8135.259999999994,8,4409.0,3,0.07626793467491272
Poland,7334.649999999997,19,3684.0,6,0.0687622285044791
Greece,4760.5199999999995,5,1557.0,4,0.04462980020043806
Unspecified,4749.789999999996,13,3300.0,4,0.0445292066190329
Iceland,4309.999999999997,7,2458.0,1,0.04040618227922326
Canada,3666.380000000001,6,2763.0,4,0.034372254892087874
USA,3580.3900000000012,5,2458.0,4,0.033566099993203785
Malta,2725.59,5,970.0,2,0.02555236342422928
United Arab Emirates,1902.2800000000007,3,982.0,2,0.017833845110468885
Lebanon,1693.8800000000003,1,386.0,1,0.01588009838494913
Lithuania,1661.06,4,652.0,1,0.015572411400632629
European Community,1300.2500000000002,4,499.0,1,0.012189823319851528
Brazil,1143.6000000000001,1,356.0,1,0.010721232031211081
RSA,1002.3099999999998,1,351.0,1,0.00939664050122698
Czech Republic,826.7400000000001,2,671.0,1,0.007750674509866605
Bahrain,754.1400000000001,3,314.0,2,0.007070050650592449
Saudi Arabia,145.92,1,80.0,1,0.0013679977072353275
