Month,Revenue,Orders,Revenue_Growth_%
2010-12,823746.14,1559,
2011-01,691364.56,1086,-16.07067682283767
2011-02,523631.89,1100,-24.261103288256493
2011-03,717639.36,1454,37.050354209710164
2011-04,537808.621,1246,-25.0586504898505
2011-05,770536.02,1681,43.273274156012455
2011-06,761739.9,1533,-1.1415585737315714
2011-07,719221.191,1475,-5.581788350590545
2011-08,759138.38,1361,5.550057409251163
2011-09,1058590.172,1837,39.446272233001835
2011-10,1154979.3,2040,9.105424417259744
2011-11,1509496.33,2769,30.694665263697797
2011-12,638792.68,819,-57.681733482584875
