StockCode,Description,Revenue,Units,Orders,Customers,Revenue_Share_%
DOT,DOTCOM POSTAGE,206248.7700000002,706.0,706,1,1.9335789780709065
22423,REGENCY CAKESTAND 3 TIER,174484.74000000025,13879.0,1988,881,1.6357916959125043
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995.0,1,1,1.579399852925252
85123A,WHITE HANGING HEART T-LIGHT HOLDER,104340.28999999838,37599.0,2189,856,0.9781885793055577
47566,PARTY BUNTING,99504.33000000053,18295.0,1685,708,0.932851530290489
85099B,JUMBO BAG RED RETROSPOT,94340.0500000021,48474.0,2089,635,0.8844364864341354
23166,MEDIUM CERAMIC TOP STORAGE JAR,81700.92000000007,78033.0,247,138,0.7659448412761584
M,Manual,78110.26999999992,7224.0,289,197,0.7322825539441631
POST,POSTAGE,78101.87999999999,3150.0,1126,331,0.7322038978259915
23084,RABBIT NIGHT LIGHT,66964.99000000028,30788.0,994,450,0.6277957290641244
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,64952.28999999993,19355.0,1160,613,0.6089266981886239
84879,ASSORTED COLOUR BIRD ORNAMENT,59094.929999999535,36461.0,1455,678,0.5540140402222556
79321,CHILLI LIGHTS,54117.759999999966,10306.0,661,205,0.5073531496759298
23298,SPOTTY BUNTING,42548.12999999984,8327.0,1140,571,0.3988880502134762
22386,JUMBO BAG PINK POLKADOT,42436.24000000009,21465.0,1218,372,0.39783908322154765
21137,BLACK RECORD COVER FRAME,40652.13000000003,11656.0,375,140,0.3811130800043347
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61.0,2,1,0.3714321899795098
23284,DOORMAT KEEP CALM AND COME IN,38166.64000000005,5491.0,728,378,0.35781165030753986
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,38158.38999999981,7493.0,1385,640,0.35773430668716555
22960,JAM MAKING SET WITH JARS,37128.880000000136,8706.0,1132,573,0.348082666613321
82484,WOOD BLACK BOARD ANT WHITE FINISH,36030.22000000018,6020.0,685,285,0.33778274637599165
20725,LUNCH BAG RED RETROSPOT,35752.010000000075,19353.0,1564,532,0.3351745319973589
22197,POPCORN HOLDER,34298.87000000005,36761.0,803,295,0.3215513673297878
22178,VICTORIAN GLASS HANGING T-LIGHT,33187.97000000008,24304.0,1037,403,0.311136697284779
22114,HOT WATER BOTTLE TEA AND SYMPATHY,33002.590000000026,5747.0,643,325,0.30939876269755745
